prob_bin_pc,Count,Defaults,Sum_PD,Avg PD,Default Rate,Share of Portfolio
"(-0.00016800000000000007, 0.0046]",3714,21,15.585925176182563,0.0041965334346210454,0.005654281098546042,0.05000740551239413
"(0.0046, 0.00502]",3713,14,17.8988194296757,0.0048205815862309995,0.0037705359547535685,0.0499939409444048
"(0.00502, 0.00537]",3714,17,19.29553275080014,0.00519535076758216,0.0045772751750134625,0.05000740551239413
"(0.00537, 0.00568]",3713,18,20.526091589792024,0.005528169024991119,0.004847831941826017,0.0499939409444048
"(0.00568, 0.00596]",3714,16,21.62759122490694,0.005823260965241502,0.004308023694130318,0.05000740551239413
"(0.00596, 0.00619]",3713,16,22.548433198660003,0.006072834149921897,0.0043091839482897925,0.0499939409444048
"(0.00619, 0.00642]",3713,15,23.401744067503422,0.006302651243604477,0.004039859951521681,0.0499939409444048
"(0.00642, 0.00661]",3714,13,24.201312857820163,0.006516239326284374,0.0035002692514808833,0.05000740551239413
"(0.00661, 0.0068]",3713,14,24.90958961407295,0.006708750232715581,0.0037705359547535685,0.0499939409444048
"(0.0068, 0.00701]",3714,14,25.63300091157708,0.006901723454921131,0.003769520732364028,0.05000740551239413
"(0.00701, 0.00724]",3713,9,26.441264685134975,0.007121267084604087,0.0024239159709130084,0.0499939409444048
"(0.00724, 0.00748]",3713,30,27.322220832114276,0.007358529715085989,0.008079719903043361,0.0499939409444048
"(0.00748, 0.00774]",3714,9,28.265085233497086,0.0076104160564074005,0.0024232633279483036,0.05000740551239413
"(0.00774, 0.00805]",3713,26,29.309523674023207,0.00789375805925753,0.007002423915970913,0.0499939409444048
"(0.00805, 0.00841]",3714,29,30.53447519588732,0.008221452664482315,0.007808292945611201,0.05000740551239413
"(0.00841, 0.00895]",3713,24,32.12297080659,0.008651486885696202,0.006463775922434689,0.0499939409444048
"(0.00895, 0.0101]",3713,32,34.976349004120465,0.009419970106146099,0.008618367896579585,0.0499939409444048
"(0.0101, 0.0158]",3714,72,45.64522537510585,0.012290044527492152,0.01938610662358643,0.05000740551239413
"(0.0158, 0.0385]",3713,138,91.25412617246774,0.02457692598235059,0.03716671155399946,0.0499939409444048
"(0.0385, 0.91]",3714,741,715.898478674963,0.1927567255452243,0.19951534733441034,0.05000740551239413
